Rep,Medium,Time_min,OD600,Time_hrs,cellconc
4,SucEA,146,NA,2.433333333,801677.515
4,SucEA,214,NA,3.566666667,3555404.574
4,SucEA,269,NA,4.483333333,12879981.82
4,SucEA,328,NA,5.466666667,55609291.96
4,SucEA,368,NA,6.133333333,138659774.7
1,SucEA,3,NA,0.05,326433.5879
2,SucEA,3,NA,0.05,214306.7207
3,SucEA,3,NA,0.05,256483.2912
1,SucEA,50,NA,0.833333333,267720.4394
2,SucEA,50,NA,0.833333333,233825.0311
3,SucEA,50,NA,0.833333333,224462.5843
1,SucEA,96,NA,1.6,295660.9511
2,SucEA,96,NA,1.6,241801.3504
3,SucEA,96,NA,1.6,279048.1379
1,SucEA,135,NA,2.25,511621.7998
2,SucEA,135,NA,2.25,492320.5443
3,SucEA,135,NA,2.25,483008.0698
1,SucEA,249,NA,4.15,7353743.92
2,SucEA,249,NA,4.15,6569287.248
3,SucEA,249,NA,4.15,7044259.133
1,SucEA,304,NA,5.066666667,25564931.71
2,SucEA,304,NA,5.066666667,26156671.69
3,SucEA,304,NA,5.066666667,23856506.74
1,SucEA,358,NA,5.966666667,100179372.5
2,SucEA,358,NA,5.966666667,103345750.6
3,SucEA,358,NA,5.966666667,128487735
4,SucEA,196,0.01062,3.266666667,NA
4,SucEA,212,0.01395,3.533333333,NA
4,SucEA,235,0.02518,3.916666667,NA
4,SucEA,258,0.04023,4.3,NA
4,SucEA,268,0.04565,4.466666667,NA
4,SucEA,296,0.07086,4.933333333,NA
4,SucEA,370,0.28724,6.166666667,NA
4,SucEA,409,0.55728,6.816666667,NA
4,SucEA,440,0.8305,7.333333333,NA
4,SucEA,495,1.2821,8.25,NA
1,SucEA,240,0.03132,4,NA
2,SucEA,240,0.0219675,4,NA
3,SucEA,240,0.0312525,4,NA
1,SucEA,263,0.05067,4.383333333,NA
2,SucEA,263,0.0397175,4.383333333,NA
3,SucEA,263,0.0489525,4.383333333,NA
1,SucEA,278,0.06762,4.633333333,NA
2,SucEA,279,0.0563575,4.65,NA
3,SucEA,279,0.0622125,4.65,NA
1,SucEA,299,0.10125,4.983333333,NA
2,SucEA,299,0.0937275,4.983333333,NA
3,SucEA,299,0.0939125,4.983333333,NA
1,SucEA,332,0.17244,5.533333333,NA
2,SucEA,333,0.15864,5.55,NA
3,SucEA,333,0.16532,5.55,NA
1,SucEA,350,0.2684,5.833333333,NA
2,SucEA,350,0.2664,5.833333333,NA
3,SucEA,351,0.2462,5.85,NA
1,SucEA,374,0.4057,6.233333333,NA
2,SucEA,374,0.4159,6.233333333,NA
3,SucEA,375,0.3855,6.25,NA
1,SucEA,413,0.7411,6.883333333,NA
2,SucEA,413,0.6898,6.883333333,NA
3,SucEA,414,0.6582,6.9,NA
1,SucEA,490,1.1878,8.166666667,NA
2,SucEA,490,1.167,8.166666667,NA
3,SucEA,490,1.084,8.166666667,NA