"Time_min","meanmass","medianmass","Q1","Q3","IQR","N_measured","rCV","Time_hrs","rep"
7.66060605049133,61.351276328003,57.7491426882513,48.0516824542723,70.5474002008236,22.4957177465513,222,0.288650637468005,0.127676767508189,1
17.873714184761,70.7420262523913,64.1602222274992,52.2471175966546,77.7911166820668,25.5439990854123,238,0.29501305739209,0.297895236412683,1
28.0006251573563,79.2146386349002,72.7402243852527,57.8179803027649,90.4248625779709,32.606882275206,254,0.332164218217976,0.466677085955938,1
38.1260748783747,88.4522060384206,77.6415626078547,60.4502775032133,99.6930111258782,39.2427336226649,278,0.374527052749617,0.635434581306245,1
48.237041648229,87.1264461871816,80.1557142737913,66.0667581813994,99.4517658107819,33.3850076293825,288,0.308627911029185,0.80395069413715,1
58.3298375209173,100.295376485452,86.4991347206624,66.6815759634652,116.192294606756,49.5107186432913,267,0.424136526141633,0.972163958681955,1
68.4566367228826,102.152548395577,90.3735040344992,71.4171247759937,121.561637796308,50.1445130203139,287,0.411150198778042,1.14094394538138,1
78.5832289934158,138.039578351793,105.68764378659,79.8007393107833,150.853605774336,71.0528664635525,282,0.498167734307774,1.3097204832236,1
88.6951009670893,140.61867820814,103.597402928621,76.8199171771216,144.046288453253,67.2263712761314,275,0.480849323509933,1.47825168278482,1
98.821373407046,145.17315397314,112.411908061294,84.0807706199171,173.40469517927,89.3239245593531,256,0.588807976307904,1.64702289011743,1
108.931455485026,155.106963700165,123.448518521118,87.5278096598244,180.541515613594,93.0137059537691,235,0.558314971596459,1.81552425808377,1
119.041920336088,211.905934863185,139.83034708715,92.1362357274606,227.438583870026,135.302348142565,244,0.717004870989513,1.98403200560147,1
129.156190737089,261.385631507186,172.458209909047,97.1551664225319,358.711149652107,261.555983229575,276,1.12382578756517,2.15260317895148,1
139.251422142982,306.792176105071,187.541874403654,99.2517511432542,477.886172030469,378.634420887215,293,1.49602912293362,2.32085703571637,1
149.363544646899,358.866138301264,234.499425299685,113.836104982558,530.39779697107,416.561691988512,339,1.31630264495963,2.48939241078165,1
159.459205961227,388.654609013567,313.375578636216,127.839238597485,594.4529641589,466.613725561415,345,1.10334306248665,2.65765343268712,1
169.553552603722,455.279055585181,368.388894048151,129.223467536474,665.08158895517,535.858121418696,370,1.07785786810216,2.82589254339537,1
179.66592652003,571.655179678726,555.288660923687,185.510164132336,784.788132706785,599.277968574449,381,0.799701139178663,2.99443210866717,1
189.795867888133,596.071330432778,575.681201591641,194.627294797752,809.826953887507,615.199659089755,474,0.79186700230117,3.16326446480222,1
199.907945116361,604.771997666869,606.08211588997,224.741478226202,818.307141184019,593.565662957817,549,0.725697301933903,3.33179908527268,1
210.035106468201,678.733893133076,634.134011621145,441.695694593685,838.785617280957,397.089922687271,650,0.464008596477964,3.50058510780335,1
220.163671167692,694.648864974375,644.303140743589,474.433007743598,852.27612237853,377.843114634932,773,0.434549717732802,3.66939451946153,1
230.277069942156,697.958224003659,652.171562769033,466.320625862565,838.527210995882,372.206585133317,806,0.422902646065641,3.8379511657026,1
240.406845657031,739.422788248302,639.523618929867,497.392899013087,849.697948515039,352.305049501951,1016,0.408207037165855,4.00678076095052,1
250.503868953387,746.217708231009,649.105234670374,497.186339549162,855.195796436326,358.009456887164,1235,0.408693372636418,4.17506448255645,1
260.635103034973,708.834254356373,610.606801375572,469.677346286635,810.249875739593,340.572529452958,1496,0.413300742402667,4.34391838391622,1
270.735445404053,683.335823501771,560.960525380449,425.26516867148,750.848638897658,325.583470226179,1859,0.430079017189267,4.51225742340088,1
280.870737799009,639.773426773327,521.029037345843,413.143031276471,696.856064925967,283.713033649496,2055,0.40349259420398,4.68117896331682,1
291.005664642652,599.998493357067,483.861424364665,381.332580849285,657.156407182654,275.823826333369,2349,0.42240493873095,4.85009441071087,1
301.146677716573,594.884853166668,465.826395389693,371.560826105342,632.946283955695,261.385457850353,2310,0.415791432568094,5.01911129527622,1
311.286925228437,572.963391297807,463.481550504623,357.423605813077,640.885797172908,283.462191359831,2285,0.453190603960275,5.18811542047395,1
321.410004520416,568.565454006203,452.141240329701,341.752722486936,633.856837409189,292.104114922252,2188,0.478720209197361,5.3568334086736,1
12.7077917893728,66.4185813070587,64.4998854753292,50.7179085614803,76.9956717343528,26.2777631728725,239,0.30188925712971,0.21179652982288,2
22.8861048301061,77.5891967079846,73.491510281107,59.7030900674107,88.1830125338418,28.4799224664311,265,0.287157284792536,0.381435080501768,2
33.012742805481,87.0737057015362,81.3079651670548,67.8477764470558,99.7279537462198,31.880177299164,264,0.290539940707463,0.55021238009135,2
43.1385580857595,100.118714007881,94.6470874946656,73.8744468104603,118.189086632152,44.3146398216917,265,0.346943038365806,0.718975968095992,2
53.2328471183777,119.341646920087,111.498728657697,85.0308910848353,140.764551717658,55.7336606328232,247,0.37039563613061,0.887214118639628,2
63.3421324650447,129.868408454124,115.683557622278,89.8071387376635,158.990441679736,69.1833029420725,268,0.443147051610067,1.05570220775074,2
73.4686026573181,158.859864554672,144.630792593207,94.7221948464285,206.099482482716,111.377287636287,262,0.570629315228999,1.2244767109553,2
83.5791575272878,171.720713408912,140.876172778823,101.934621452411,224.198664175689,122.264042723279,260,0.643101341205433,1.39298595878813,2
93.7068609635035,213.738712683012,165.67715003146,106.803215650581,293.822255687129,187.019040036548,262,0.836452755499276,1.56178101605839,2
103.833648943901,257.622921824677,176.706784732076,112.536967680846,381.4072214851,268.870253804254,276,1.1274771275536,1.73056081573168,2
113.944028560321,314.63999287592,231.089764543585,131.619816980078,460.626396279308,329.00657929923,257,1.05497478757761,1.89906714267202,2
124.055458068848,370.822511431692,330.578324155402,152.55651763537,539.909530114151,387.353012478782,326,0.868261955710826,2.06759096781413,2
134.15180135568,427.30130796794,395.441732285878,187.511439364933,610.820445240906,423.309005875973,311,0.793219197025295,2.235863355928,2
144.247552792231,497.254779546366,502.964639125869,275.108898210482,655.4563548763,380.347456665818,344,0.560352445212039,2.40412587987052,2
154.359625395139,567.355690435747,578.438251521706,348.567466895545,765.75364571109,417.186178815545,414,0.534430352227006,2.57266042325232,2
164.455625597636,617.075736939019,611.26700677411,405.106648430507,788.282501574595,383.175853144088,414,0.464499644235984,2.74092709329393,2
174.550044035912,638.247492046893,631.149029408616,447.646472997537,817.795974137269,370.149501139732,495,0.434573718035408,2.90916740059853,2
184.678855935733,708.389987862985,672.089220144761,507.537222892223,887.571257726136,380.034034833913,630,0.418999756834777,3.07798093226222,2
194.792036557198,738.628569289929,679.071500033952,530.039000930252,865.304055511121,335.265054580869,725,0.365839834880426,3.24653394261997,2
204.920200538635,750.607814817225,703.690473262355,533.351492092018,899.792860915262,366.441368823244,836,0.385870016172279,3.41533667564392,2
215.048104055723,748.999275396833,680.324796615674,546.572019889027,877.210118611903,330.638098722876,933,0.360126269647139,3.58413506759538,2
225.177098981539,752.273821230758,689.172783287365,531.654049195979,879.45306134104,347.79901214506,1207,0.373954216198391,3.75295164969232,2
235.290440527598,784.607252846344,682.45477458504,536.374448188365,893.110089188965,356.7356410006,1686,0.387338648399339,3.92150734212663,2
245.403471684456,750.726044804508,654.454185396076,513.308263647841,852.205816369061,338.897552721219,2195,0.383713775799972,4.0900578614076,2
255.517401703199,735.546560019327,635.105791662713,501.036373100227,822.65596592904,321.619592828813,2389,0.375244756723484,4.25862336171998,2
265.633346581459,678.485659388596,567.766062616901,444.73639309911,749.255599853627,304.519206754517,3088,0.397432581942386,4.42722244302432,2
275.75199145476,611.129924987518,502.690543470133,398.293071963241,679.472923414653,281.179851451412,4079,0.414478196640027,4.595866524246,2
285.88677016894,561.246419337473,466.121243714026,369.576197324594,616.558030860139,246.981833535545,4142,0.392630761026032,4.76477950281567,2
296.023229122162,553.655639635114,448.197284201797,353.723839094637,609.538909931228,255.81507083659,4238,0.422936448237304,4.93372048536937,2
306.164707899094,531.234305646347,438.44652190242,346.490305793678,596.444452292981,249.954146499303,4819,0.422436975329012,5.10274513165157,2
316.303777170181,520.562955714745,426.767646203157,331.318675460525,576.709212217918,245.390536757393,4407,0.426073507106179,5.27172961950302,2
326.429354516665,500.459983897844,414.008696787215,314.779064107182,560.83694373738,246.057879630198,4452,0.440398692638302,5.44048924194442,2
